Depth,PERMEABILITY,POROSITY,G1,PD1,G2,PD2,BV1,BV2,Mode,PRT,ROCK_INDEX,DATA_SOURCE
329,0.49105,0.162,0.24,181.12,0.15,1000,16.2,0.001,0.9,1,4,Rosetta
330,0.79355,0.17524,0.19,183.25,0.15,1000,17.52,0.001,0.94,1,4,Rosetta
331,2.4439,0.18278,0.22,183.46,0.15,1000,18.28,0.001,0.9,1,4,Rosetta
332,2.22,0.208,0.08,185,0.15,1000,20.8,0.001,1.06,1,4,Rosetta
333,0.4182,0.10771,0.28,188.31,0.15,1000,10.77,0.001,0.82,1,4,Rosetta
334,2.623,0.19887,0.07,191.49,0.15,1000,19.89,0.001,1.03,1,4,Rosetta
335,0.00946,0.0633,0.78,218.64,0.15,1000,6.33,0.001,0.4,1,4,Rosetta
336,0.14303,0.08314,0.12,223.05,0.15,1000,8.31,0.001,0.84,1,4,Rosetta
337,0.1582,0.08201,0.31,230,0.15,1000,8.2,0.001,0.65,1,4,Rosetta
338,0.29007,0.1495,0.24,235,0.15,1000,14.95,0.001,0.69,1,4,Rosetta
339,0.1108,0.09725,0.23,240.53,0.15,1000,9.72,0.001,0.68,1,4,Rosetta
340,0.2461,0.11913,0.16,267.9,0.15,1000,11.91,0.001,0.66,1,4,Rosetta
341,0.2255,0.09782,0.11,352.47,0.15,1000,9.78,0.001,0.53,1,4,Rosetta
342,0.1907,0.07406,0.04,360.93,0.15,1000,7.41,0.001,0.57,1,4,Rosetta
343,0.05523,0.10361,0.13,456.33,0.15,1000,10.36,0.001,0.4,1,4,Rosetta
344,0.0201,0.05255,0.05,481.79,0.15,1000,5.26,0.001,0.42,1,4,Rosetta
345,0.0158,0.04317,0.09,610.32,0.15,1000,4.32,0.001,0.31,1,4,Rosetta
346,2.1906,0.18017,0.34,47.51,0.25,1150,17.27,0.75,3.06,1_2,5,Rosetta
347,13.9658,0.2889,0.25,48,0.1,200,22.27,6.62,3.34,1_1,4,Rosetta
348,2.15,0.1562,0.3,50.6,0.1,155,10.18,5.44,3,1_1,4,Rosetta
349,6.2895,0.20754,0.23,52.03,0.03,270,14.68,6.07,3.16,1_1,4,Rosetta
350,1.143,0.14509,0.53,55,0.1,280,11.68,2.83,2.12,1_1,4,Rosetta
351,0.01646,0.08734,0.85,67.08,0.08,3800,5.54,3.2,1.2,1_3,5,Rosetta
352,12.42275,0.26918,0.14,75.11,0.05,220,11.99,14.93,2.43,1_1,4,Rosetta
353,0.40126,0.1016,0.35,77.91,0.13,1400,8.9,1.26,1.84,1_2,5,Rosetta
354,3.0856,0.22394,0.21,98.77,0.16,225.27,16.89,5.51,1.7,1_1,4,Rosetta
355,0.0405,0.1013,0.56,102.93,0.14,1600,8.48,1.65,1.1,1_2,5,Rosetta
356,0.5997,0.10141,0.36,120,0.36,960,9.14,1,1.18,1_2,5,Rosetta
357,0.31378,0.08536,0.38,120,0.22,1100,7.34,1.19,1.15,1_2,5,Rosetta
358,0.07508,0.12807,0.5,123.47,0.08,1000,7.82,4.99,0.98,1_2,5,Rosetta
359,0.14267,0.08977,0.26,155.08,0.34,1200,7.99,0.98,1.02,1_2,5,Rosetta
360,0.0166,0.08208,0.4,181.91,0.27,780,5.58,2.63,0.74,1_2,5,Rosetta
361,0.3584,0.12583,0.27,218.79,0.3,1100,11.65,0.93,0.72,1_2,5,Rosetta
362,0.01149,0.0616,0.32,220,0.2,780,3.19,2.97,0.67,1_2,5,Rosetta
363,0.00367,0.04924,0.65,240,0.28,2567.16,3.09,1.83,0.42,1_3,5,Rosetta
364,0.04028,0.08535,0.27,271.79,0.11,1423.11,7.36,1.18,0.58,1_2,5,Rosetta
365,0.00528,0.0461,0.65,328.98,0.18,3400,3.52,1.09,0.31,1_3,5,Rosetta
366,0.2188,0.09297,0.18,338.48,0.17,1650,5.71,3.59,0.51,1_2,5,Rosetta
367,0.2203,0.08825,0.16,360,0.15,1549.86,7.34,1.49,0.49,1_2,5,Rosetta
368,0.03726,0.0854,0.14,360,0.24,1500,5.96,2.58,0.51,1_2,5,Rosetta
369,0.6326,0.05323,0.47,378.67,0.05,3500,2.73,2.59,0.33,1_3,5,Rosetta
370,0.04676,0.0743,0.8,380,0.06,3400,4.86,2.57,0.22,1_3,5,Rosetta
371,0.02273,0.07288,0.06,420,0.3,1150,4.35,2.94,0.48,1_2,5,Rosetta
372,0.0448,0.07261,0.08,450,0.26,1400,5.76,1.5,0.43,1_2,5,Rosetta
373,1.2917,0.1398,0.31,49.92,0.2,143.31,4.21,7.86,2.98,1_1_1,4,Rosetta
374,0.6296,0.1617,0.3,59.67,0.15,269.24,12.34,2.4,2.55,1_1_2,4,Rosetta
375,1.0965,0.1747,0.23,62,0.21,164.95,6.74,8.2,2.65,1_1_2,4,Rosetta
376,0.03838,0.07478,0.76,77.3,0.24,853.83,5.33,1.44,1.16,1_2_3,5,Rosetta
377,0.02191,0.04099,0.93,620.25,0.08,8000,2.1,2,0.12,2_3,6,Rosetta
378,0.02625,0.09092,0.1,666.3,0.15,1000,9.09,0.001,0.29,2,6,Rosetta
379,0.11116,0.07338,0.37,750,0.05,12000,3.44,3.9,0.19,2_3,6,Rosetta
380,0.0244,0.07967,0.07,756.19,0.15,1000,7.97,0.001,0.26,2,6,Rosetta
381,0.0124,0.07891,0.17,785.2,0.15,1000,7.89,0.001,0.22,2,6,Rosetta
382,0.02364,0.06848,0.06,800,0.15,1000,6.85,0.001,0.25,2,6,Rosetta
383,0.02513,0.10636,0.07,807.53,0.15,1000,10.64,0.001,0.24,2,6,Rosetta
384,0.00532,0.04063,0.05,820.19,0.15,1000,4.06,0.001,0.25,2,6,Rosetta
385,0.00489,0.04798,0.13,892.1,0.15,1000,4.8,0.001,0.21,2,6,Rosetta
386,0.01204,0.08337,0.12,960.3,0.15,1000,8.34,0.001,0.2,2,6,Rosetta
387,0.00164,0.04468,0.21,964.88,0.15,1000,4.47,0.001,0.17,2,6,Rosetta
388,0.0079,0.06392,0.09,1000,0.15,1000,6.39,0.001,0.19,2,6,Rosetta
389,0.00151,0.03289,0.36,1000,0.15,1000,3.29,0.001,0.14,2,6,Rosetta
390,0.00295,0.06432,0.15,1190.39,0.15,1000,6.43,0.001,0.15,2,6,Rosetta
391,0.00762,0.06147,0.18,1200,0.15,1000,6.15,0.001,0.15,2,6,Rosetta
392,0.00228,0.04224,0.25,1289.59,0.06,4700,2.24,1.98,0.12,2_3,6,Rosetta
393,0.0058,0.04534,0.04,1300,0.15,1000,4.53,0.001,0.16,2,6,Rosetta
394,0.0552,0.06496,0.04,1306.2,0.15,1000,6.5,0.001,0.16,2,6,Rosetta
395,0.00369,0.06514,0.05,1389.1,0.15,1000,6.51,0.001,0.15,2,6,Rosetta
396,0.00506,0.06551,0.06,1395.84,0.15,1000,6.55,0.001,0.14,2,6,Rosetta
397,0.0536,0.09554,0.04,1400,0.15,1000,9.55,0.001,0.15,2,6,Rosetta
398,0.0022,0.04656,0.1,1500,0.15,1000,4.66,0.001,0.13,2,6,Rosetta
399,0.00373,0.04783,0.06,1522.94,0.15,1000,4.78,0.001,0.13,2,6,Rosetta
400,0.00109,0.0531,0.14,1540.23,0.04,4400,2.69,2.62,0.12,2_3,6,Rosetta
401,0.03143,0.07418,0.12,1600,0.15,1000,7.42,0.001,0.12,2,6,Rosetta
402,0.00463,0.07279,0.05,1654.86,0.15,1000,7.28,0.001,0.12,2,6,Rosetta
403,0.0157,0.04138,0.09,1660.49,0.15,1000,4.14,0.001,0.12,2,6,Rosetta
404,0.02603,0.09134,0.12,1671.81,0.15,1000,9.13,0.001,0.11,2,6,Rosetta
405,0.00251,0.05314,0.06,1699.18,0.15,1000,5.31,0.001,0.12,2,6,Rosetta
406,0.00152,0.0522,0.07,1715.2,0.15,1000,5.22,0.001,0.12,2,6,Rosetta
407,0.00576,0.04546,0.36,1770.9,0.15,1000,4.55,0.001,0.08,2,6,Rosetta
408,0.026,0.07104,0.05,1850,0.15,1000,7.1,0.001,0.11,2,6,Rosetta
409,0.0073,0.04472,0.06,2150.22,0.15,1000,4.47,0.001,0.09,2,6,Rosetta
410,0.24899,0.06799,0.04,2200,0.15,1000,6.8,0.001,0.09,2,6,Rosetta
411,0.00243,0.06622,0.12,2200,0.15,1000,6.62,0.001,0.08,2,6,Rosetta
412,0.0034,0.03942,0.11,2309.95,0.15,1000,3.94,0.001,0.08,2,6,Rosetta
413,0.00089,0.05897,0.08,2382.07,0.15,1000,5.9,0.001,0.08,2,6,Rosetta
414,0.00128,0.03647,0.09,2400,0.15,1000,3.65,0.001,0.08,2,6,Rosetta
415,0.00248,0.02819,0.07,2467.04,0.15,1000,2.82,0.001,0.08,2,6,Rosetta
416,0.00259,0.05365,0.06,3000,0.15,1000,5.37,0.001,0.07,3,6,Rosetta
417,0.0063,0.04293,0.06,3100,0.15,1000,4.29,0.001,0.06,3,6,Rosetta
418,0.0044,0.0598,0.1,3104.12,0.15,1000,5.98,0.001,0.06,3,6,Rosetta
419,0.00101,0.02669,0.14,3244.6,0.15,1000,2.67,0.001,0.06,3,6,Rosetta
420,0.0089,0.04077,0.03,3250,0.15,1000,4.08,0.001,0.06,3,6,Rosetta
421,0.00121,0.02758,0.15,3385.75,0.15,1000,2.76,0.001,0.05,3,6,Rosetta
422,0.00139,0.03258,0.14,3561.59,0.15,1000,3.26,0.001,0.05,3,6,Rosetta
423,0.00015,0.03599,0.08,3786.73,0.15,1000,3.6,0.001,0.05,3,6,Rosetta
424,0.0045,0.02939,0.11,3805.47,0.15,1000,2.94,0.001,0.05,3,6,Rosetta
425,0.0029,0.02311,0.07,3817.05,0.15,1000,2.31,0.001,0.05,3,6,Rosetta
426,0.00333,0.02897,0.07,4113.34,0.15,1000,2.9,0.001,0.05,3,6,Rosetta
427,0.00015,0.03747,0.1,4294.44,0.15,1000,3.75,0.001,0.04,3,6,Rosetta
428,0.00185,0.05834,0.2,4798.08,0.15,1000,5.83,0.001,0.04,3,6,Rosetta
429,0.03649,0.04553,0.08,4834.92,0.15,1000,4.55,0.001,0.04,3,6,Rosetta
430,0.00178,0.03918,0.25,5100,0.15,1000,3.92,0.001,0.03,3,6,Rosetta
431,4.78223,0.03451,0.2,5431.21,0.15,1000,3.45,0.001,0.03,3,6,Rosetta
432,0.00287,0.04457,0.07,5814.59,0.15,1000,4.46,0.001,0.03,3,6,Rosetta
433,0.00104,0.03517,0.25,5925.67,0.15,1000,3.52,0.001,0.03,3,6,Rosetta
434,0.03389,0.05956,0.1,5995.03,0.15,1000,5.96,0.001,0.03,3,6,Rosetta
435,0.00206,0.03586,0.2,6022.99,0.15,1000,3.59,0.001,0.03,3,6,Rosetta
436,0.00056,0.03485,0.1,7156.41,0.15,1000,3.48,0.001,0.03,3,6,Rosetta
437,0.25738,0.03333,0.09,7572.84,0.15,1000,3.33,0.001,0.03,3,6,Rosetta
438,0.00815,0.01689,0.02,7800,0.15,1000,1.69,0.001,0.03,3,6,Rosetta
439,0.0002,0.01512,0.54,7852.33,0.15,1000,1.51,0.001,0.01,3,6,Rosetta
440,0.00013,0.02057,0.25,8167.52,0.15,1000,2.06,0.001,0.02,3,6,Rosetta
441,0.06248,0.01387,0.22,10704.21,0.15,1000,1.39,0.001,0.02,3,6,Rosetta
442,0.0008,0.02062,0.34,11661.41,0.15,1000,2.06,0.001,0.01,3,6,Rosetta
443,0.00036,0.02185,0.05,12000,0.15,1000,2.18,0.001,0.02,3,6,Rosetta
444,0.00071,0.01889,0.23,15007.86,0.15,1000,1.89,0.001,0.01,3,6,Rosetta
