Depth,PERMEABILITY,POROSITY,G1,PD1,G2,PD2,BV1,BV2,Mode,PRT,ROCK_INDEX,DATA_SOURCE
94,409.6946,0.22968,0.35,3.85,0.21,170,15.58,7.39,37.23,M_1,1,Rosetta
95,298.1964,0.29316,0.54,3.88,0.2,225,27.29,2.02,29.64,M_1,1,Rosetta
96,67.54169,0.14331,0.83,4,0.19,1000,12.6,1.73,20.6,M_2,2,Rosetta
97,640.808,0.27907,0.41,4.08,0.1,200,20.99,6.91,32.9,M_1,1,Rosetta
98,885.1785,0.1471,0.1,4.09,0.25,2500,11.79,2.92,46.65,M_3,2,Rosetta
99,903.1751,0.23407,0.17,4.2,0.32,160,15.91,7.5,41.81,M_1,1,Rosetta
100,268.2992,0.28511,0.4,4.2,0.08,190,21.85,6.66,32.14,M_1,1,Rosetta
101,316,0.2419,0.46,4.26,0.05,350,21.48,2.71,29.6,M_1,1,Rosetta
102,279,0.2407,0.35,4.27,0.1,250,14.23,9.84,33.5,M_1,1,Rosetta
103,44.76872,0.2058,0.38,4.32,0.33,200,12.77,7.81,31.98,M_1,1,Rosetta
104,328,0.30438,0.52,4.33,0.09,190,26.49,3.95,27.16,M_1,1,Rosetta
105,392,0.21314,0.33,4.33,0.9,90,17.9,3.42,33.82,M_1,1,Rosetta
106,145.2544,0.20182,0.3,4.43,0.44,80,10.06,10.12,34.26,M_1,1,Rosetta
107,211.116,0.21221,0.51,4.5,0.12,180,15.73,5.49,26.39,M_1,1,Rosetta
108,57.51171,0.13386,0.45,4.56,0.45,700,10.47,2.92,28.09,M_2,2,Rosetta
109,117.6971,0.27599,0.69,4.63,0.09,245,24.19,3.41,20.88,M_1,1,Rosetta
110,526,0.2356,0.36,4.74,1,85,20.92,2.64,29.84,M_1,1,Rosetta
111,352.6993,0.26491,0.55,4.76,0.24,180,23.05,3.45,23.98,M_1,1,Rosetta
112,168,0.25731,0.6,4.8,0.03,270,24.25,1.48,22.27,M_1,1,Rosetta
113,276.6508,0.24968,0.55,4.82,0.13,210,21.64,3.33,23.59,M_1,1,Rosetta
114,11.6399,0.17471,0.94,4.88,0.1,1600,15.55,1.92,14.88,M_2,2,Rosetta
115,166.707,0.24238,0.55,4.99,0.16,172.69,17.92,6.32,22.78,M_1,1,Rosetta
116,44.7296,0.17122,0.88,5,0.09,240,6.46,10.66,15.56,M_1,1,Rosetta
117,196.8243,0.10813,0.16,5.2,0.29,2000,9.43,1.38,34.24,M_2,2,Rosetta
118,115.8465,0.25143,0.65,5.2,0.06,95,20.35,4.79,19.49,M_1,1,Rosetta
119,58.4959,0.20535,0.85,5.28,0.2,1300,18.2,2.33,15.29,M_2,2,Rosetta
120,382.381,0.1678,0.22,5.29,0.6,400,10.42,6.36,31.41,M_1,1,Rosetta
121,125,0.2296,0.85,5.3,0.08,250,21.47,1.49,15.19,M_1,1,Rosetta
122,21.3373,0.12388,0.72,5.36,0.72,154.73,9.28,3.11,17.35,M_1,1,Rosetta
123,113.7862,0.25774,0.53,5.42,0.04,210,20.78,4.99,21.48,M_1,1,Rosetta
124,223.7087,0.25352,0.38,5.59,0.07,220,18.33,7.02,24.8,M_1,1,Rosetta
125,246.81,0.24822,0.5,5.6,0.15,175,17.88,6.95,21.5,M_1,1,Rosetta
126,146,0.2432,0.73,5.6,0.1,240,22.09,2.23,16.51,M_1,1,Rosetta
127,217.0112,0.26734,0.35,5.73,0.15,240,22.23,4.5,24.85,M_1,1,Rosetta
128,106.4052,0.25612,0.56,5.89,0.08,250,22.88,2.73,18.97,M_1,1,Rosetta
129,85.1,0.1401,0.36,6.1,0.4,1100,11.74,2.27,23.13,M_2,2,Rosetta
130,317.7859,0.29156,0.42,6.12,0.2,140,27.98,1.18,21.58,M_1,1,Rosetta
131,335.9113,0.26973,0.35,6.33,0.19,220,23.41,3.57,22.7,M_1,1,Rosetta
132,72.8891,0.20156,0.48,6.34,0.19,175,13.88,6.28,19.45,M_1,1,Rosetta
133,7.36691,0.17486,0.7,6.5,0.35,100,5.45,12.03,14.71,M_1,1,Rosetta
134,105.2428,0.25772,0.6,6.7,0.08,260,24.32,1.45,16.02,M_1,1,Rosetta
135,184.181,0.26617,0.5,6.74,0.19,250,23.99,2.62,17.86,M_1,1,Rosetta
136,8.52243,0.08807,0.56,6.85,0.27,5500,8.29,0.51,16.47,M_3,2,Rosetta
137,3.56154,0.17324,0.8,6.92,0.12,1000,15.22,2.11,12.32,M_2,2,Rosetta
138,16.5,0.22157,0.75,7,0.15,200,15.06,7.1,12.9,M_1,1,Rosetta
139,296.461,0.26896,0.23,7.01,0.15,180,16.97,9.93,23.34,M_1,1,Rosetta
140,268.8414,0.29412,0.45,7.1,0.1,220,24.92,4.49,17.97,M_1,1,Rosetta
141,9.7716,0.19843,1.12,7.38,0.12,1200,17.92,1.92,7.99,M_2,2,Rosetta
142,182.5429,0.32759,0.47,7.8,0.18,215.46,28.59,4.17,15.98,M_1,1,Rosetta
143,16.17793,0.13006,0.48,7.8,0.3,800,9.72,3.29,15.8,M_2,2,Rosetta
144,76.48,0.24946,0.55,7.87,0.12,215,20.31,4.63,14.45,M_1,1,Rosetta
145,46.5507,0.23944,0.82,8,0.08,215,18.27,5.67,10.42,M_1,1,Rosetta
146,44.3057,0.19178,0.58,8,0.15,165,15.23,3.95,13.73,M_1,1,Rosetta
147,25.094,0.21693,0.5,8.17,0.07,215,17.23,4.47,14.75,M_1,1,Rosetta
148,63.9,0.26512,0.65,8.36,0.05,310,23.27,3.25,12.12,M_1,1,Rosetta
149,135.1592,0.25179,0.38,8.37,0.02,240,19.22,5.96,16.51,M_1,1,Rosetta
150,105,0.2547,0.42,8.48,0.12,185,21.29,4.18,15.57,M_1,1,Rosetta
151,321.8713,0.24347,0.16,8.77,0.91,54.3,17.85,6.5,20.29,M_1,1,Rosetta
152,78.1,0.2441,0.5,8.8,0.08,260,20.23,4.18,13.68,M_1,1,Rosetta
153,65.04107,0.13826,0.2,9.2,0.3,800,10.44,3.39,18.48,M_2,2,Rosetta
154,18.24411,0.14356,0.5,9.3,0.24,207.96,9.57,4.78,12.95,M_1,1,Rosetta
155,0.2687,0.0958,0.6,9.47,0.38,365,5.05,4.53,11.33,M_1,1,Rosetta
156,6.6498,0.19624,1.35,9.5,0.33,210,13.07,6.56,4.77,M_1,1,Rosetta
157,66.04,0.2159,0.54,9.8,0.06,240,19.53,2.06,11.74,M_1,1,Rosetta
158,36.8961,0.20494,0.7,10,0.18,130,13.94,6.56,9.57,M_1,1,Rosetta
159,25.1567,0.2513,0.8,10,0.1,150,14.03,11.1,8.53,M_1,1,Rosetta
160,95.34,0.2618,0.33,10.27,0.14,200,21.56,4.62,14.26,M_1,1,Rosetta
161,12.8828,0.2372,0.44,10.6,0.15,154,8.13,15.59,12.17,M_1,1,Rosetta
162,1.10697,0.09875,1.17,10.63,0.25,1300,9.01,0.87,5.26,M_2,2,Rosetta
163,75.8641,0.27877,0.6,11,0.3,190,23.77,4.1,9.76,M_1,1,Rosetta
164,80,0.26864,0.42,11.04,0.19,140,21.71,5.15,11.95,M_1,1,Rosetta
165,3.97123,0.15183,0.81,11.27,0.22,360,9.1,6.08,7.48,M_1,1,Rosetta
166,1.11169,0.09193,1.67,11.29,0.1,2100,7.67,1.52,2.79,M_2,2,Rosetta
167,97.8403,0.2655,0.35,11.46,0.15,160,21.19,5.36,12.48,M_1,1,Rosetta
168,31.7,0.2486,0.55,11.5,0.05,200,21.35,3.51,9.89,M_1,1,Rosetta
169,88,0.29499,0.35,11.68,0.13,160,23.88,5.62,12.26,M_1,1,Rosetta
170,12.3318,0.18534,0.67,12.25,0.2,240,13.05,5.49,8.08,M_1,1,Rosetta
171,24.9076,0.26221,0.55,12.27,0.25,90,18.01,8.21,9.26,M_1,1,Rosetta
172,22.1,0.1967,0.75,12.5,0.05,210,15.7,3.97,7.23,M_1,1,Rosetta
173,0.182,0.068,0.3,12.55,0.12,310,0.96,5.84,12.02,M_1,1,Rosetta
174,11.84353,0.1692,0.55,12.75,0.16,180,8.21,8.71,8.91,M_1,1,Rosetta
175,41.2498,0.17931,0.24,13.4,0.85,120,13.25,4.68,12.12,M_1,1,Rosetta
176,44.30529,0.22987,0.35,13.5,0.14,280,16.74,6.25,10.6,M_1,1,Rosetta
177,16.6108,0.21783,0.55,13.5,0.04,240,12.07,9.71,8.42,M_1,1,Rosetta
178,220.186,0.1411,0.2,14,0.57,130,10.46,3.65,12.15,M_1,1,Rosetta
179,13.204,0.23949,0.45,14,0.08,220,8.87,15.08,9.09,M_1,1,Rosetta
180,25.4,0.16332,0.36,14.9,0.16,1750,14.82,1.52,9.49,M_2,2,Rosetta
181,36.2,0.28778,0.38,15,0.1,180,19.92,8.86,9.22,M_1,1,Rosetta
182,21.8,0.24851,0.47,15,0.1,220,15.37,9.48,8.31,M_1,1,Rosetta
183,17.0855,0.20057,0.7,15,0.1,210,16.64,3.42,6.38,M_1,1,Rosetta
184,13.3641,0.19826,0.55,15.5,0.05,280,11.45,8.37,7.34,M_1,1,Rosetta
185,28.1292,0.26576,0.49,16.5,0.05,240,18.12,8.45,7.38,M_1,1,Rosetta
186,47.5584,0.1836,0.14,16.59,0.84,99.51,12.05,6.31,10.98,M_1,1,Rosetta
187,13.8703,0.26025,0.58,17,0.16,220,20.69,5.33,6.46,M_1,1,Rosetta
188,10.15806,0.12588,0.33,17.12,0.84,1274.09,11.46,1.13,8.51,M_2,2,Rosetta
189,3.34,0.18677,0.74,19.3,0.06,380,17.11,1.56,4.73,M_1,1,Rosetta
190,36.48,0.268,0.32,20,0.09,245,21.5,5.3,7.41,M_1,1,Rosetta
191,18.39,0.26883,0.59,20,0.13,280,25.11,1.77,5.46,M_1,1,Rosetta
192,8.99,0.22054,0.7,20,0.13,175,9.55,12.5,4.78,M_1,1,Rosetta
193,22.8494,0.27791,0.49,20.03,0.12,210,21.42,6.37,6.07,M_1,1,Rosetta
194,26.0996,0.3197,0.38,20.14,0.03,280,26.22,5.75,6.85,M_1,1,Rosetta
195,18.33397,0.23227,0.3,20.5,0.16,210,11.76,11.47,7.39,M_1,1,Rosetta
196,23.5,0.28144,0.28,22.05,0.12,160,18.03,10.12,7.03,M_1,1,Rosetta
197,15.1,0.2377,0.4,23,0.08,160,11.51,12.26,5.87,M_1,1,Rosetta
198,3.87526,0.15413,0.4,23.32,0.1,194.57,7.61,7.8,5.78,M_1,1,Rosetta
199,0.87486,0.1027,0.47,24.28,0.17,180,7.3,2.97,5.15,M_1,1,Rosetta
200,5.019,0.21338,0.45,25,0.52,140,14.91,6.43,5.1,M_1,1,Rosetta
201,0.70867,0.04993,0.75,26,0.15,3000,3.39,1.6,3.47,M_3,2,Rosetta
202,37.83,0.2894,0.38,26.65,0.05,250,22.62,6.32,5.19,M_1,1,Rosetta
203,3.7544,0.16168,0.5,27,0.12,170,5.1,11.07,4.46,M_1,1,Rosetta
204,0.01999,0.06175,0.64,31,0.14,4100,5.11,1.07,3.31,M_3,2,Rosetta
205,7.46,0.22095,0.43,32.71,0.3,145,19.06,3.03,4.01,M_1,1,Rosetta
206,5.47334,0.23635,0.42,34,0.12,190,9.45,14.19,3.88,M_1,1,Rosetta
207,13.2,0.2264,0.37,34.5,0.05,220,19.72,2.92,4.05,M_1,1,Rosetta
208,2.7536,0.17987,0.42,35,0.12,350,4.06,13.92,3.77,M_1,1,Rosetta
209,0.14791,0.07652,0.52,35.18,0.33,682.6,5.94,1.72,3.34,M_2,2,Rosetta
210,0.20949,0.11792,0.82,35.22,0.15,1444.42,10.89,0.9,2.37,M_2,2,Rosetta
211,17.3258,0.25738,0.3,37.48,0.14,200,21.56,4.18,4.04,M_1,1,Rosetta
212,18.6,0.2499,0.3,38.33,0.03,265,20.49,4.5,3.95,M_1,1,Rosetta
213,4.86291,0.20353,0.31,39.47,0.12,230,9.05,11.31,3.8,M_1,1,Rosetta
214,8.7082,0.23801,0.35,40,0.07,191.32,10.5,13.3,3.58,M_1,1,Rosetta
215,7.3414,0.21421,0.35,40,0.15,155,10,11.42,3.6,M_1,1,Rosetta
216,15.1,0.26269,0.2,40.36,0.1,195,17.93,8.34,4.21,M_1,1,Rosetta
217,4.7743,0.23447,0.41,41.83,0.12,295,21.02,2.43,3.21,M_1,1,Rosetta
218,7.9795,0.2402,0.15,42,0.11,130,6.49,17.53,4.29,M_1,1,Rosetta
219,6.6896,0.23969,0.26,42,0.1,220,9.78,14.19,3.78,M_1,1,Rosetta
220,270,0.1048,0.86,1.21,1.24,20.82,5.52,2.98,65.56,M_M_2,2,Rosetta
221,3600,0.2282,0.94,1.22,0.08,254.7,19.67,1.38,59.5,M_1_2,3,Rosetta
222,969.6469,0.23864,0.75,1.33,0.2,220,17.37,5.37,67.78,M_1_2,3,Rosetta
223,14.208,0.20326,1.05,1.5,0.8,21,9.46,9.53,42.65,M_M_2,2,Rosetta
224,3700.2259,0.2031,0.3,1.5,0.8,145,12.23,4.55,100.99,M_1_2,3,Rosetta
225,2206.4711,0.21769,0.29,1.64,0.7,55,13.93,4.63,93.39,M_1_1,1,Rosetta
226,1522.10383,0.18915,0.31,1.66,0.35,80,12.75,3.71,90.86,M_1_3,3,Rosetta
227,2179.3248,0.21559,0.26,1.67,1,80,12.82,6.01,95.27,M_1_2,3,Rosetta
228,1170,0.1816,0.33,1.7,0.92,30,11.97,4.98,86.13,M_M_3,2,Rosetta
229,16.6441,0.10992,0.45,1.7,0.55,5.59,6.03,3.74,74.9,M_M_2,2,Rosetta
230,45.86256,0.142,0.28,1.71,0.59,4.08,2.67,9,90.47,M_M_2,2,Rosetta
231,696.4379,0.19132,0.58,1.76,0.8,100,13.13,3,62.63,M_1_2,3,Rosetta
232,512.60162,0.1835,0.31,1.76,0.2,100,9.03,6.46,85.01,M_1_2,3,Rosetta
233,132.4754,0.25134,1.09,1.8,0.2,214.71,21.96,1.6,33.88,M_1_2,3,Rosetta
234,124.2943,0.19941,0.57,1.88,1.06,12,9.01,9.68,59.14,M_M_2,2,Rosetta
235,3291.4655,0.21888,0.16,1.9,0.51,150,13.11,6,93.7,M_1_2,3,Rosetta
236,3108.6105,0.20569,0.16,1.9,0.3,170,13.52,5.42,93.7,M_1_2,3,Rosetta
237,1004.99548,0.2159,0.3,1.94,0.3,120,11.01,6.11,78.4,M_1_1,1,Rosetta
238,2169.4257,0.21721,0.29,1.99,0.48,176.96,15.78,3.09,77.26,M_1_2,3,Rosetta
239,1999.27357,0.17033,0.2,2,0.24,65,10.97,4.9,85.02,M_1_3,3,Rosetta
240,140.19446,0.2329,1.2,2,0.19,140,15.82,6.82,26.92,M_1_1,1,Rosetta
241,4142.9526,0.20598,0.1,2.1,0.26,180,12.43,5.66,90.83,M_1_2,3,Rosetta
242,2630.9777,0.21055,0.23,2.18,1,90,13.07,6.16,75.21,M_1_2,3,Rosetta
243,3250.1059,0.21791,0.12,2.2,0.56,110,12.83,7.18,84.73,M_1_2,3,Rosetta
244,1544.6407,0.20776,0.22,2.31,0.6,150,12.33,5.46,72.22,M_1_1,1,Rosetta
245,98.6,0.32352,0.75,2.4,0.3,24,22.89,6.62,37.64,M_M_1,1,Rosetta
246,59.11377,0.16424,0.36,2.42,0.69,4.43,6.05,9.65,58.53,M_M_3,2,Rosetta
247,148.83043,0.0906,0.69,2.42,0.81,130,7.27,0.9,40.08,M_1_2,3,Rosetta
248,1072.44,0.14838,0.12,2.48,0.35,65,9.08,4.53,75.18,M_1_3,3,Rosetta
249,1239.61815,0.1562,0.22,2.5,0.26,90,12.81,1.61,66.47,M_1_3,3,Rosetta
250,21.6783,0.20698,0.9,2.58,0.5,55,7.93,5.64,29.46,M_1_1,1,Rosetta
251,2332.8926,0.20795,0.14,2.6,0.27,117.38,12.73,6.02,70.07,M_1_3,3,Rosetta
252,1168.79539,0.21851,0.18,2.62,0.5,140,11.92,5.96,66.51,M_1_1,1,Rosetta
253,1208.5422,0.20202,0.11,2.8,0.56,70,8.52,10.13,67.35,M_1_2,3,Rosetta
254,28.24658,0.10986,1.28,2.99,0.15,550,9.27,0.69,16.41,M_1_3,3,Rosetta
255,108.8691,0.16009,0.59,3,0.44,135.7,11.99,2.51,36.12,M_1_2,3,Rosetta
256,34.19,0.2543,0.35,3,0.32,26.59,1.71,18.98,47.7,M_M_1,1,Rosetta
257,24.15718,0.15815,0.34,3.33,1.11,7.19,3.66,11.26,43.4,M_M_3,2,Rosetta
258,185.51895,0.18361,0.35,3.39,0.18,110,11.42,2.86,42.23,M_1_1,1,Rosetta
259,32.15368,0.19252,0.26,3.5,0.56,7.35,4.64,12,45.07,M_M_2,2,Rosetta
260,203.0909,0.23347,0.69,3.59,0.5,170,18.51,3.22,27.09,M_1_2,3,Rosetta
261,128.95013,0.17959,0.42,3.6,0.25,180,11.15,5.78,36.76,M_1_2,3,Rosetta
262,498,0.2223,0.5,3.63,0.1,260,17.74,4.01,33.19,M_1_3,3,Rosetta
263,514.01943,0.15979,0.12,3.8,0.2,220,10.84,2.51,49.06,M_1_2,3,Rosetta
264,393,0.1905,0.34,3.8,0.54,57.56,13.45,1.72,38.02,M_1_1,1,Rosetta
265,128.4228,0.28118,0.42,4,0.3,44.4,18.17,6.06,33.01,M_M_1,1,Rosetta
